OrderID,OrderDate,CustomerName,ProductName,Category,SalesLocation,Quantity,UnitPrice,TotalRevenue
48,11/15/2024,Kevin Smith,Aurora Smartphone X1,Electronics,"Atlanta, GA",5,394.23,1576.9
49,11/20/2025,Karen Davis,Pulse Wireless Earbuds,Electronics,"Philadelphia, PA",2,106.02,201.44
50,10/3/2025,Patricia Lopez,Nebula Laptop Pro,Electronics,"San Diego, CA",4,894.06,3218.6
51,7/3/2025,Joseph Martinez,Aurora Smartphone X1,Electronics,"Austin, TX",3,381.85,916.44
52,8/10/2025,Steven Thomas,Nebula Laptop Pro,Electronics,"Los Angeles, CA",3,858.68,2318.43
53,8/16/2024,Patricia Johnson,FreshBrew Coffee Maker,Home Appliances,"San Diego, CA",4,116.93,467.72
54,8/23/2025,Anthony Miller,Urban Classic Jeans,Fashion,"Houston, TX",5,55.81,251.15
55,6/9/2025,Patricia Rodriguez,NutriMax Blender,Home Appliances,"San Diego, CA",3,112.73,321.27
56,8/12/2024,Barbara Williams,Aurora Smartphone X1,Electronics,"Boston, MA",2,355.64,569.02
57,7/16/2024,Kevin Brown,Pulse Wireless Earbuds,Electronics,"Las Vegas, NV",3,107.68,323.04
58,10/30/2025,Paul Martinez,Summit Running Shoes,Fashion,"Miami, FL",1,74.93,63.69
59,3/16/2025,Barbara Rodriguez,Summit Running Shoes,Fashion,"Philadelphia, PA",1,123.67,111.3
60,8/20/2025,Jennifer Brown,Aurora Smartphone X1,Electronics,"Houston, TX",2,371.08,630.84
61,6/7/2024,William Jones,Aurora Smartphone X1,Electronics,"Philadelphia, PA",4,446.13,1606.08
62,11/19/2024,James Jackson,NutriMax Blender,Home Appliances,"Miami, FL",4,101.48,405.92
63,10/18/2024,Barbara Thomas,Pulse Wireless Earbuds,Electronics,"Houston, TX",2,89.35,178.7
64,12/12/2025,Michael Martinez,ZenLife Yoga Mat,Sports & Fitness,"Philadelphia, PA",2,65.37,130.74
65,9/14/2025,William Anderson,NutriMax Blender,Home Appliances,"New York, NY",4,84.03,336.12
66,5/6/2024,Andrew Moore,Summit Running Shoes,Fashion,"Phoenix, AZ",2,112.67,225.34
67,10/22/2024,Mark Hernandez,PureGlow Skincare Set,Beauty,"Atlanta, GA",1,72.27,68.66
68,6/30/2024,Andrew Jones,Urban Classic Jeans,Fashion,"Houston, TX",1,67.65,67.65
69,11/4/2024,Mary Taylor,Pulse Wireless Earbuds,Electronics,"Miami, FL",1,98.82,88.94
70,6/20/2025,Susan Martin,ZenLife Yoga Mat,Sports & Fitness,"Portland, OR",2,65.04,130.08
71,6/27/2024,Elizabeth Anderson,Nebula Laptop Pro,Electronics,"Austin, TX",1,1199.61,1139.63
72,10/11/2024,Karen Davis,NutriMax Blender,Home Appliances,"Boston, MA",3,88.46,265.38
73,3/24/2024,Thomas Smith,Urban Classic Jeans,Fashion,"San Antonio, TX",1,81.35,77.28
74,5/20/2024,Thomas Smith,NutriMax Blender,Home Appliances,"San Antonio, TX",3,116.57,297.24
75,2/27/2025,Richard Jones,Aurora Smartphone X1,Electronics,"Orlando, FL",3,499.88,1349.67
76,4/23/2024,Thomas Hernandez,Nebula Laptop Pro,Electronics,"Boston, MA",3,1359.15,4077.45
77,4/2/2025,Jessica Davis,GlowAir Standing Fan,Home Appliances,"San Jose, CA",3,175.22,499.38
78,1/25/2025,Paul Jones,GlowAir Standing Fan,Home Appliances,"San Francisco, CA",5,154.6,734.35
79,2/23/2024,Barbara Thomas,Pulse Wireless Earbuds,Electronics,"San Diego, CA",1,154.74,154.74
80,9/20/2024,Jennifer Rodriguez,Aurora Smartphone X1,Electronics,"Miami, FL",2,358.11,572.98
81,1/7/2024,Paul Jackson,NutriMax Blender,Home Appliances,"Atlanta, GA",2,113.49,226.98
82,7/1/2025,Sarah Johnson,Pulse Wireless Earbuds,Electronics,"Las Vegas, NV",5,103.35,439.25
83,1/20/2025,Kevin Garcia,Urban Classic Jeans,Fashion,"San Jose, CA",3,80.17,240.51
84,9/12/2024,Paul Jackson,Urban Classic Jeans,Fashion,"Philadelphia, PA",1,51.83,51.83
85,12/14/2025,Donald Brown,Summit Running Shoes,Fashion,"Boston, MA",3,102.5,276.75
86,6/9/2025,Anthony Brown,Aurora Smartphone X1,Electronics,"Boston, MA",1,453.75,408.37
87,5/8/2025,Jennifer Martin,GlowAir Standing Fan,Home Appliances,"Austin, TX",4,145.92,466.96
88,3/15/2024,Patricia Jones,Nebula Laptop Pro,Electronics,"Phoenix, AZ",2,1508.9,2565.12
89,11/7/2025,Michael Garcia,PureGlow Skincare Set,Beauty,"Boston, MA",1,74.34,66.91
90,12/31/2025,Karen Anderson,Urban Classic Jeans,Fashion,"Philadelphia, PA",2,71.41,128.54
91,4/20/2025,James Jones,GlowAir Standing Fan,Home Appliances,"Boston, MA",2,167.66,335.32
92,11/23/2025,Joseph Smith,FreshBrew Coffee Maker,Home Appliances,"Las Vegas, NV",4,147.59,590.36
93,4/22/2024,Kevin Garcia,NutriMax Blender,Home Appliances,"Houston, TX",3,128.39,365.91
94,10/25/2025,Paul Jones,Nebula Laptop Pro,Electronics,"Miami, FL",5,937.14,4685.7
95,5/5/2025,Patricia Smith,Summit Running Shoes,Fashion,"Portland, OR",1,106.8,101.46
96,5/15/2025,Jennifer Martin,Nebula Laptop Pro,Electronics,"Los Angeles, CA",1,1235.29,1111.76
97,9/7/2025,James Thomas,PureGlow Skincare Set,Beauty,"Austin, TX",2,63.24,126.48
98,6/20/2024,Elizabeth Johnson,Nebula Laptop Pro,Electronics,"Seattle, WA",3,1145.31,3264.12
99,1/17/2024,Karen Taylor,Pulse Wireless Earbuds,Electronics,"Seattle, WA",2,140.15,266.28
100,12/27/2025,James Smith,NutriMax Blender,Home Appliances,"Boston, MA",5,114.23,485.5
101,10/16/2025,Steven Miller,PureGlow Skincare Set,Beauty,"Seattle, WA",3,73.09,175.41
102,2/4/2025,Andrew Thomas,ZenLife Yoga Mat,Sports & Fitness,"San Antonio, TX",2,73.98,118.36
103,11/18/2025,Mary Brown,Urban Classic Jeans,Fashion,"Dallas, TX",2,60.29,108.52
104,6/9/2025,Steven Martin,Summit Running Shoes,Fashion,"Boston, MA",3,96.15,274.02
105,7/1/2024,Paul Jackson,Pulse Wireless Earbuds,Electronics,"Austin, TX",4,106.52,362.16
106,1/16/2024,William Anderson,Summit Running Shoes,Fashion,"New York, NY",5,109.35,546.75
107,6/29/2025,Patricia Smith,GlowAir Standing Fan,Home Appliances,"San Jose, CA",3,150.49,428.91
108,1/29/2024,Kevin Brown,Pulse Wireless Earbuds,Electronics,"Atlanta, GA",1,132.35,125.73
109,8/26/2024,Steven Davis,PureGlow Skincare Set,Beauty,"Seattle, WA",1,70.17,66.66
110,1/3/2024,James Williams,GlowAir Standing Fan,Home Appliances,"Boston, MA",5,152.92,764.6
111,10/26/2025,Barbara Williams,Summit Running Shoes,Fashion,"Phoenix, AZ",1,80.54,80.54
112,3/1/2024,Michael Smith,Aurora Smartphone X1,Electronics,"Phoenix, AZ",5,516.31,2452.45
113,8/13/2024,Kevin Garcia,NutriMax Blender,Home Appliances,"Denver, CO",1,90.38,90.38
114,5/7/2025,Mark Martin,NutriMax Blender,Home Appliances,"Las Vegas, NV",2,112.54,225.08
115,5/31/2025,Kevin Martin,PureGlow Skincare Set,Beauty,"Chicago, IL",5,98.11,490.55
116,7/26/2025,Mark Anderson,PureGlow Skincare Set,Beauty,"Portland, OR",3,72.83,196.65
117,6/8/2024,Richard Brown,Aurora Smartphone X1,Electronics,"Chicago, IL",3,425.2,1275.6
118,12/22/2024,James Jones,PureGlow Skincare Set,Beauty,"Atlanta, GA",2,84.28,168.56
119,11/27/2024,Matthew Thomas,PureGlow Skincare Set,Beauty,"Los Angeles, CA",2,78.98,142.16
120,2/7/2024,Steven Rodriguez,Urban Classic Jeans,Fashion,"Miami, FL",3,88.96,253.53
121,8/15/2025,Steven Lopez,FreshBrew Coffee Maker,Home Appliances,"Orlando, FL",2,125.24,237.96
122,7/21/2025,Donald Martinez,Pulse Wireless Earbuds,Electronics,"Chicago, IL",2,105.92,180.06
123,12/1/2024,Mary Jones,Aurora Smartphone X1,Electronics,"Las Vegas, NV",4,481.55,1637.28
124,7/10/2025,Michael Jackson,PureGlow Skincare Set,Beauty,"Austin, TX",1,80.77,80.77
125,5/12/2024,Joseph Wilson,FreshBrew Coffee Maker,Home Appliances,"San Antonio, TX",3,196.61,560.34
126,3/12/2025,Linda Thomas,GlowAir Standing Fan,Home Appliances,"Austin, TX",2,186.13,316.42
127,2/15/2024,Susan Jackson,GlowAir Standing Fan,Home Appliances,"Denver, CO",3,186.7,504.09
128,11/5/2025,Joseph Wilson,Nebula Laptop Pro,Electronics,"Denver, CO",3,1104.82,3148.74
129,8/9/2024,Patricia Johnson,Nebula Laptop Pro,Electronics,"Miami, FL",5,865.45,3461.8
130,12/31/2025,David Lopez,Summit Running Shoes,Fashion,"Houston, TX",1,100.15,90.13
131,11/1/2024,Joseph Smith,FreshBrew Coffee Maker,Home Appliances,"San Francisco, CA",5,138.49,623.2
132,2/2/2024,Mary Brown,Summit Running Shoes,Fashion,"Austin, TX",3,109.85,329.55
133,4/8/2024,Steven Rodriguez,Nebula Laptop Pro,Electronics,"Houston, TX",5,1563.22,7425.3
134,11/17/2025,Anthony Gonzalez,Summit Running Shoes,Fashion,"Los Angeles, CA",4,85.69,342.76
135,3/24/2024,Sarah Jones,Aurora Smartphone X1,Electronics,"Miami, FL",3,537.1,1289.04
136,6/10/2025,Andrew Miller,Aurora Smartphone X1,Electronics,"Philadelphia, PA",2,424.18,848.36
137,9/27/2024,Donald Brown,PureGlow Skincare Set,Beauty,"Seattle, WA",4,63.41,202.92
138,8/13/2025,Sarah Thomas,PureGlow Skincare Set,Beauty,"San Diego, CA",3,71.19,192.21
139,7/11/2025,David Taylor,Pulse Wireless Earbuds,Electronics,"Chicago, IL",1,94.53,89.8
140,11/8/2025,Steven Smith,Summit Running Shoes,Fashion,"Dallas, TX",1,77.49,69.74
141,12/9/2024,Mark Taylor,Urban Classic Jeans,Fashion,"Los Angeles, CA",3,76.78,230.34
142,12/31/2024,Steven Johnson,Urban Classic Jeans,Fashion,"San Francisco, CA",3,72.73,185.46
143,3/28/2024,Joshua Gonzalez,FreshBrew Coffee Maker,Home Appliances,"Las Vegas, NV",1,189.68,151.74
144,11/3/2025,Andrew Lopez,FreshBrew Coffee Maker,Home Appliances,"Portland, OR",2,147.72,236.36
145,8/11/2025,Joshua Anderson,Aurora Smartphone X1,Electronics,"New York, NY",4,342.55,1370.2
146,5/1/2024,Kevin Smith,FreshBrew Coffee Maker,Home Appliances,"Atlanta, GA",2,191.57,383.14
147,1/9/2024,Andrew Garcia,Aurora Smartphone X1,Electronics,"Philadelphia, PA",1,460.89,437.85
148,11/20/2025,Linda Lopez,Nebula Laptop Pro,Electronics,"San Diego, CA",4,1113.36,4453.44
149,1/24/2025,Charles Gonzalez,GlowAir Standing Fan,Home Appliances,"Orlando, FL",2,166.44,316.24
150,1/14/2024,Joseph Wilson,PureGlow Skincare Set,Beauty,"San Jose, CA",3,99.92,284.76
151,7/20/2025,Barbara Thomas,PureGlow Skincare Set,Beauty,"Las Vegas, NV",4,78.01,265.24
152,8/16/2025,Andrew Smith,Urban Classic Jeans,Fashion,"Las Vegas, NV",2,56.53,113.06
153,12/14/2025,Thomas Davis,NutriMax Blender,Home Appliances,"Chicago, IL",3,113.97,341.91
154,5/30/2025,James Davis,Aurora Smartphone X1,Electronics,"Portland, OR",4,493.19,1578.2
155,8/30/2025,Patricia Davis,NutriMax Blender,Home Appliances,"Boston, MA",1,85.13,76.62
156,2/21/2025,David Anderson,Summit Running Shoes,Fashion,"Miami, FL",4,113.76,455.04
157,10/4/2025,Donald Martinez,Pulse Wireless Earbuds,Electronics,"Seattle, WA",5,93.38,396.85
158,4/9/2024,Thomas Williams,Aurora Smartphone X1,Electronics,"San Diego, CA",2,518.69,829.9
159,7/6/2025,Paul Jackson,GlowAir Standing Fan,Home Appliances,"Phoenix, AZ",4,120.17,456.64
160,5/24/2024,Charles Gonzalez,GlowAir Standing Fan,Home Appliances,"Los Angeles, CA",3,151.58,454.74
161,3/24/2025,Elizabeth Johnson,Pulse Wireless Earbuds,Electronics,"Phoenix, AZ",4,138.93,444.56
162,8/14/2025,Matthew Thomas,ZenLife Yoga Mat,Sports & Fitness,"Atlanta, GA",2,46.53,83.76
163,10/2/2024,Susan Martin,PureGlow Skincare Set,Beauty,"Phoenix, AZ",3,72.57,217.71
164,11/17/2025,Barbara Brown,FreshBrew Coffee Maker,Home Appliances,"Austin, TX",5,140.94,634.25
165,12/19/2025,Jennifer Moore,NutriMax Blender,Home Appliances,"Miami, FL",4,110.88,443.52
166,10/8/2024,Paul Jackson,Nebula Laptop Pro,Electronics,"Portland, OR",5,966.52,4832.6
167,6/9/2024,John Smith,Urban Classic Jeans,Fashion,"Phoenix, AZ",1,71.19,64.07
168,8/3/2024,David Taylor,Summit Running Shoes,Fashion,"San Francisco, CA",3,67.06,160.95
169,8/10/2024,Jessica Taylor,Nebula Laptop Pro,Electronics,"San Antonio, TX",3,938.1,2532.87
170,11/3/2024,William Davis,Summit Running Shoes,Fashion,"Denver, CO",2,78.17,140.7
171,10/30/2025,Thomas Smith,Nebula Laptop Pro,Electronics,"San Diego, CA",5,1027.32,5136.6
172,2/17/2025,Karen Johnson,Aurora Smartphone X1,Electronics,"Austin, TX",2,519.42,883.02
173,12/10/2024,Joshua Brown,NutriMax Blender,Home Appliances,"San Diego, CA",4,113.88,455.52
174,8/24/2025,Steven Wilson,Urban Classic Jeans,Fashion,"Dallas, TX",4,51.11,184
175,3/29/2024,Karen Davis,PureGlow Skincare Set,Beauty,"Dallas, TX",5,112.25,533.2
176,5/8/2025,Charles Lopez,PureGlow Skincare Set,Beauty,"Philadelphia, PA",4,98.83,336.04
177,12/30/2024,Joshua Brown,Nebula Laptop Pro,Electronics,"Las Vegas, NV",3,1170.16,3510.48
178,3/5/2024,Steven Miller,GlowAir Standing Fan,Home Appliances,"Miami, FL",4,178.84,679.6
179,10/31/2024,Robert Miller,Pulse Wireless Earbuds,Electronics,"New York, NY",1,92.97,92.97
180,1/3/2024,Andrew Jones,Pulse Wireless Earbuds,Electronics,"Atlanta, GA",5,144.81,687.85
181,5/12/2024,Mark Taylor,FreshBrew Coffee Maker,Home Appliances,"Seattle, WA",2,180.96,361.92
182,12/8/2024,Anthony Taylor,Summit Running Shoes,Fashion,"Austin, TX",2,99.09,188.28
183,4/26/2024,Susan Taylor,Urban Classic Jeans,Fashion,"Orlando, FL",4,92.9,334.44
184,5/20/2024,Anthony Taylor,Pulse Wireless Earbuds,Electronics,"Houston, TX",3,124.24,354.09
185,6/22/2025,Sarah Taylor,Urban Classic Jeans,Fashion,"Atlanta, GA",5,74.24,352.65
186,1/2/2024,John Smith,ZenLife Yoga Mat,Sports & Fitness,"San Francisco, CA",1,73.94,62.85
187,2/8/2024,Paul Taylor,GlowAir Standing Fan,Home Appliances,"San Jose, CA",5,159.57,797.85
188,3/24/2024,Andrew Wilson,Aurora Smartphone X1,Electronics,"Houston, TX",4,516.04,1754.52
189,7/12/2025,James Jones,NutriMax Blender,Home Appliances,"San Jose, CA",3,86.67,234
190,1/26/2024,Daniel Lopez,Urban Classic Jeans,Fashion,"Dallas, TX",1,81.06,81.06
191,8/6/2025,Karen Brown,PureGlow Skincare Set,Beauty,"San Jose, CA",1,63.09,56.78
192,9/3/2025,Karen Williams,Nebula Laptop Pro,Electronics,"Las Vegas, NV",4,930.86,3164.92
193,3/14/2025,Barbara Lopez,Pulse Wireless Earbuds,Electronics,"San Jose, CA",2,139.59,279.18
194,10/23/2025,Karen Davis,Nebula Laptop Pro,Electronics,"Boston, MA",5,966.89,4351
195,5/23/2025,Anthony Miller,ZenLife Yoga Mat,Sports & Fitness,"Denver, CO",1,67.46,53.97
196,7/7/2025,Patricia Williams,Pulse Wireless Earbuds,Electronics,"San Francisco, CA",5,109.57,493.05
197,6/14/2025,Donald Brown,GlowAir Standing Fan,Home Appliances,"Atlanta, GA",4,146.28,555.88
198,2/5/2024,Michael Johnson,GlowAir Standing Fan,Home Appliances,"Atlanta, GA",5,183.74,918.7
199,12/8/2025,Richard Rodriguez,NutriMax Blender,Home Appliances,"Dallas, TX",5,110.42,552.1
200,8/17/2024,Karen Anderson,Urban Classic Jeans,Fashion,"San Diego, CA",2,56.82,113.64
201,5/9/2024,Jessica Williams,ZenLife Yoga Mat,Sports & Fitness,"Philadelphia, PA",4,69.68,264.8
202,9/20/2024,Richard Jones,Nebula Laptop Pro,Electronics,"Portland, OR",4,825.98,2643.12
203,3/21/2025,Donald Taylor,PureGlow Skincare Set,Beauty,"San Jose, CA",1,113.09,113.09
204,6/25/2025,Mary Davis,NutriMax Blender,Home Appliances,"Orlando, FL",5,101.64,406.55
205,9/4/2024,Steven Jackson,FreshBrew Coffee Maker,Home Appliances,"Portland, OR",4,113.85,409.88
206,4/4/2025,Donald Davis,Summit Running Shoes,Fashion,"New York, NY",4,120.39,481.56
207,7/31/2025,William Davis,Aurora Smartphone X1,Electronics,"San Francisco, CA",1,361.28,289.02
208,4/10/2025,Robert Rodriguez,PureGlow Skincare Set,Beauty,"Houston, TX",3,109.32,311.55
209,1/12/2024,Daniel Miller,Urban Classic Jeans,Fashion,"San Jose, CA",1,72.71,61.8
210,10/31/2025,John Smith,Pulse Wireless Earbuds,Electronics,"San Jose, CA",3,99.47,298.41
211,5/9/2024,Susan Smith,PureGlow Skincare Set,Beauty,"Los Angeles, CA",3,92.68,222.42
212,9/9/2024,Jessica Rodriguez,ZenLife Yoga Mat,Sports & Fitness,"Los Angeles, CA",1,48.8,46.36
213,4/27/2025,Andrew Jones,FreshBrew Coffee Maker,Home Appliances,"Portland, OR",1,207.3,186.57
214,8/2/2025,Jessica Rodriguez,Nebula Laptop Pro,Electronics,"Miami, FL",5,949.51,3798.05
215,11/2/2025,Barbara Williams,Summit Running Shoes,Fashion,"Philadelphia, PA",5,75.11,338
216,5/31/2025,Patricia Taylor,GlowAir Standing Fan,Home Appliances,"Las Vegas, NV",3,147.79,443.37
217,4/1/2025,Mark Jones,Nebula Laptop Pro,Electronics,"Miami, FL",3,1363.65,4090.95
218,2/3/2025,Patricia Williams,Pulse Wireless Earbuds,Electronics,"Orlando, FL",4,149.43,537.96
219,12/24/2024,Joshua Martinez,NutriMax Blender,Home Appliances,"Phoenix, AZ",4,105.74,380.68
220,3/3/2024,Donald Davis,FreshBrew Coffee Maker,Home Appliances,"San Francisco, CA",5,215.46,1023.45
221,3/30/2025,Mary Brown,Pulse Wireless Earbuds,Electronics,"Atlanta, GA",5,146.61,586.45
222,8/13/2025,Anthony Jones,GlowAir Standing Fan,Home Appliances,"Philadelphia, PA",5,115.4,577
223,7/31/2024,James Williams,GlowAir Standing Fan,Home Appliances,"Denver, CO",2,116.16,185.86
224,4/9/2025,James Jones,Nebula Laptop Pro,Electronics,"Houston, TX",3,1391.45,3756.9
225,6/29/2025,Anthony Johnson,Urban Classic Jeans,Fashion,"Houston, TX",4,66.41,239.08
226,2/25/2025,Barbara Miller,Pulse Wireless Earbuds,Electronics,"Portland, OR",2,154.3,262.32
227,4/29/2024,Michael Taylor,PureGlow Skincare Set,Beauty,"Boston, MA",1,112.56,95.68
228,8/19/2024,Mark Lopez,Aurora Smartphone X1,Electronics,"San Francisco, CA",5,375.5,1783.65
229,3/19/2024,Daniel Lopez,NutriMax Blender,Home Appliances,"San Diego, CA",1,125.58,119.3
230,3/24/2025,Steven Wilson,Pulse Wireless Earbuds,Electronics,"Seattle, WA",5,136.43,682.15
231,9/12/2025,Daniel Thomas,GlowAir Standing Fan,Home Appliances,"New York, NY",3,96,288
232,12/31/2024,Mark Martin,Urban Classic Jeans,Fashion,"San Diego, CA",4,67.9,244.44
233,5/5/2025,Andrew Miller,GlowAir Standing Fan,Home Appliances,"Las Vegas, NV",2,144.85,260.74
234,9/14/2025,Donald Martin,NutriMax Blender,Home Appliances,"Philadelphia, PA",4,89.08,320.68
235,1/16/2025,Thomas Smith,NutriMax Blender,Home Appliances,"Houston, TX",4,130.55,469.96
236,5/28/2024,Karen Johnson,ZenLife Yoga Mat,Sports & Fitness,"San Francisco, CA",4,64.7,207.04
237,10/14/2024,Michael Jackson,FreshBrew Coffee Maker,Home Appliances,"Orlando, FL",4,116.75,467
238,10/26/2025,Andrew Smith,Aurora Smartphone X1,Electronics,"Dallas, TX",3,356.1,1068.3
239,2/17/2025,Jennifer Hernandez,Nebula Laptop Pro,Electronics,"Portland, OR",4,1349.3,5397.2
240,5/11/2025,James Rodriguez,Aurora Smartphone X1,Electronics,"San Antonio, TX",4,548.67,2194.68
241,10/28/2024,Sarah Williams,Urban Classic Jeans,Fashion,"San Diego, CA",4,49.95,199.8
242,4/10/2025,Patricia Thomas,FreshBrew Coffee Maker,Home Appliances,"Denver, CO",2,180.3,324.54
243,2/10/2025,Paul Rodriguez,Nebula Laptop Pro,Electronics,"Miami, FL",4,1527.78,5805.56
244,12/3/2025,Karen Smith,Aurora Smartphone X1,Electronics,"Chicago, IL",3,418.64,1255.92
245,4/20/2024,Richard Martin,PureGlow Skincare Set,Beauty,"Phoenix, AZ",2,104.6,177.82
246,4/13/2024,Mary Davis,Urban Classic Jeans,Fashion,"New York, NY",3,83.48,212.88
247,8/18/2024,Mark Lopez,PureGlow Skincare Set,Beauty,"Atlanta, GA",3,62.44,187.32
248,8/24/2025,Andrew Lopez,PureGlow Skincare Set,Beauty,"San Jose, CA",2,60.41,108.74
249,3/10/2024,Donald Williams,PureGlow Skincare Set,Beauty,"Austin, TX",3,116.8,350.4
250,6/19/2025,Donald Williams,Summit Running Shoes,Fashion,"San Jose, CA",3,88.12,237.93
251,7/6/2024,James Davis,FreshBrew Coffee Maker,Home Appliances,"Philadelphia, PA",1,136.85,130.01
252,5/29/2025,Joshua Miller,GlowAir Standing Fan,Home Appliances,"Atlanta, GA",5,160.02,760.1
253,10/31/2025,Jennifer Brown,Summit Running Shoes,Fashion,"Los Angeles, CA",2,75.95,151.9
254,3/16/2024,Matthew Hernandez,Pulse Wireless Earbuds,Electronics,"Denver, CO",2,156.23,281.22
255,12/15/2024,James Jones,Pulse Wireless Earbuds,Electronics,"Houston, TX",1,118.42,118.42
256,4/27/2024,Daniel Lopez,Summit Running Shoes,Fashion,"Miami, FL",5,108.02,486.1
257,2/2/2025,Kevin Wilson,Summit Running Shoes,Fashion,"Miami, FL",4,112.88,428.96
